time,MAC,class_id,level
1368656092,00:1D:4F:8A:D7:C0,3670276,-68
1368656092,00:1E:C2:94:6D:EE,3801348,-88
1368656092,00:1E:C2:95:92:57,3801348,-69
1368656092,00:1E:C2:98:1B:79,3801348,-95
1368656092,00:1F:F3:A4:E4:F1,3670276,-90
1368656092,10:68:3F:57:8D:7A,5898764,-81
1368656092,40:A6:D9:FB:48:54,3801348,-97
1368656092,44:2A:60:D8:85:51,3801348,-93
1368656092,64:B9:E8:DE:CF:F9,3801348,-94
1368656092,64:B9:E8:DE:D9:B7,3801348,-92
1368656092,98:D6:F7:30:E8:11,5898764,-72
1368656092,B0:EC:71:BB:27:38,5898764,-84
1368656092,B8:F6:B1:36:51:9C,3801348,-97
1368656092,D0:DF:C7:C9:BD:A5,5898764,-75

1368656141,00:06:66:46:9A:0A,7936,-92
1368656141,00:06:66:46:B6:FB,7936,-84
1368656141,00:1D:4F:8A:D7:C0,3670276,-63
1368656141,00:1E:C2:94:6D:EE,3801348,-76
1368656141,00:1E:C2:95:92:57,3801348,-68
1368656141,00:1E:C2:98:1B:79,3801348,-93
1368656141,00:1F:F3:A4:E4:F1,3670276,-91
1368656141,10:68:3F:57:8D:7A,5898764,-76
1368656141,10:68:3F:5E:25:70,5898764,-64
1368656141,40:A6:D9:FB:47:70,3801348,-94
1368656141,40:A6:D9:FB:48:54,3801348,-87
1368656141,44:2A:60:D8:85:51,3801348,-98
1368656141,64:B9:E8:DE:CF:F9,3801348,-92
1368656141,64:B9:E8:DE:D9:B7,3801348,-91
1368656141,98:D6:F7:30:82:57,5898764,-71
1368656141,B0:EC:71:BB:27:38,5898764,-84
1368656141,D0:DF:C7:C9:BD:A5,5898764,-90

1368656195,00:06:66:46:9A:0A,7936,-84
1368656195,00:06:66:46:B6:FB,7936,-79
1368656195,00:1D:4F:8A:D7:C0,3670276,-69
1368656195,00:1E:C2:94:6D:EE,3801348,-73
1368656195,00:1E:C2:95:92:57,3801348,-68
1368656195,00:1E:C2:98:1B:79,3801348,-90
1368656195,10:68:3F:57:8D:7A,5898764,-80
1368656195,10:68:3F:5E:25:70,5898764,-70
1368656195,40:A6:D9:FB:48:54,3801348,-86
1368656195,64:B9:E8:DE:CF:F5,3801348,-81
1368656195,64:B9:E8:DE:CF:F9,3801348,-89
1368656195,64:B9:E8:DE:D9:B7,3801348,-86
1368656195,64:B9:E8:DE:DA:1B,3801348,-82
1368656195,98:D6:F7:30:82:57,5898764,-68
1368656195,98:D6:F7:30:E8:11,5898764,-68
1368656195,B0:EC:71:BB:27:38,5898764,-74
1368656195,D0:DF:C7:C9:BD:A5,5898764,-72

1368656248,00:06:66:46:9A:0A,7936,-96
1368656248,00:06:66:46:B6:20,7936,-99
1368656248,00:06:66:46:B6:FB,7936,-79
1368656248,00:1D:4F:8A:D7:C0,3670276,-65
1368656248,00:1E:C2:94:6D:EE,3801348,-78
1368656248,00:1E:C2:95:92:57,3801348,-67
1368656248,00:1E:C2:98:1B:79,3801348,-90
1368656248,00:1F:F3:A4:E4:F1,3670276,-92
1368656248,10:68:3F:57:8D:7A,5898764,-77
1368656248,10:68:3F:5E:25:70,5898764,-78
1368656248,40:A6:D9:FB:47:70,3801348,-95
1368656248,44:2A:60:D8:85:51,3801348,-95
1368656248,64:B9:E8:DE:CF:F9,3801348,-82
1368656248,64:B9:E8:DE:D9:B7,3801348,-86
1368656248,98:D6:F7:30:E8:11,5898764,-68
1368656248,B0:EC:71:BB:27:38,5898764,-77
1368656248,D0:DF:C7:C9:BD:A5,5898764,-74

1368656302,00:06:66:46:9A:0A,7936,-87
1368656302,00:06:66:46:B6:20,7936,-93
1368656302,00:06:66:46:B6:FB,7936,-89
1368656302,00:1E:C2:94:6D:EE,3801348,-77
1368656302,00:1E:C2:95:92:57,3801348,-72
1368656302,00:1E:C2:98:1B:79,3801348,-84
1368656302,00:1F:F3:A4:E4:F1,3670276,-98
1368656302,04:0C:CE:EC:56:DB,3801348,-90
1368656302,10:68:3F:57:8D:7A,5898764,-82
1368656302,10:68:3F:5E:25:70,5898764,-73
1368656302,64:B9:E8:DE:CF:F9,3801348,-84
1368656302,98:D6:F7:30:82:57,5898764,-87
1368656302,98:D6:F7:30:E8:11,5898764,-63
1368656302,B0:EC:71:BB:27:38,5898764,-72
1368656302,D0:DF:C7:C9:BD:A5,5898764,-73

1368656358,00:06:66:46:9A:0A,7936,-94
1368656358,00:06:66:46:B6:20,7936,-96
1368656358,00:06:66:46:B6:FB,7936,-94
1368656358,00:1D:4F:8A:D7:C0,3670276,-62
1368656358,00:1E:C2:94:6D:EE,3801348,-76
1368656358,00:1E:C2:95:92:57,3801348,-63
1368656358,00:1E:C2:98:1B:79,3801348,-85
1368656358,00:1F:F3:A4:E4:F1,3670276,-83
1368656358,10:68:3F:57:8D:7A,5898764,-89
1368656358,10:68:3F:5E:25:70,5898764,-66
1368656358,40:A6:D9:FB:48:54,3801348,-90
1368656358,64:B9:E8:DE:CF:F9,3801348,-87
1368656358,64:B9:E8:DE:D9:B7,3801348,-88
1368656358,98:D6:F7:30:82:57,5898764,-73
1368656358,98:D6:F7:30:E8:11,5898764,-65
1368656358,B0:EC:71:BB:27:38,5898764,-80
1368656358,D0:DF:C7:C9:BD:A5,5898764,-78

1368656406,00:06:66:46:9A:0A,7936,-89
1368656406,00:06:66:46:B6:FB,7936,-81
1368656406,00:1D:4F:8A:D7:C0,3670276,-62
1368656406,00:1E:C2:94:6D:EE,3801348,-72
1368656406,00:1E:C2:95:92:57,3801348,-62
1368656406,00:1E:C2:98:1B:79,3801348,-84
1368656406,00:1F:F3:A4:E4:F1,3670276,-96
1368656406,10:68:3F:57:8D:7A,5898764,-83
1368656406,64:B9:E8:DE:CF:F9,3801348,-91
1368656406,98:D6:F7:30:82:57,5898764,-70
1368656406,98:D6:F7:30:E8:11,5898764,-70
1368656406,B0:EC:71:BB:27:38,5898764,-91
1368656406,D0:DF:C7:C9:BD:A5,5898764,-68
1368656406,D8:A2:5E:85:5B:0A,3801348,-96

1368656451,00:06:66:46:9A:0A,7936,-85
1368656451,00:06:66:46:B6:FB,7936,-83
1368656451,00:1D:4F:8A:D7:C0,3670276,-64
1368656451,00:1E:C2:94:6D:EE,3801348,-68
1368656451,00:1E:C2:95:92:57,3801348,-64
1368656451,00:1E:C2:98:1B:79,3801348,-82
1368656451,10:68:3F:57:8D:7A,5898764,-82
1368656451,10:68:3F:5E:25:70,5898764,-75
1368656451,40:A6:D9:FB:48:54,3801348,-88
1368656451,64:B9:E8:DE:CF:F9,3801348,-86
1368656451,98:D6:F7:30:82:57,5898764,-70
1368656451,98:D6:F7:30:E8:11,5898764,-68
1368656451,B0:EC:71:BB:27:38,5898764,-74
1368656451,D0:DF:C7:C9:BD:A5,5898764,-80

1368656495,00:06:66:46:9A:0A,7936,-85
1368656495,00:1D:4F:8A:D7:C0,3670276,-61
1368656495,00:1E:C2:94:6D:EE,3801348,-70
1368656495,00:1E:C2:95:92:57,3801348,-66
1368656495,00:1E:C2:98:1B:79,3801348,-90
1368656495,00:1F:F3:A4:E4:F1,3670276,-91
1368656495,10:68:3F:57:8D:7A,5898764,-82
1368656495,10:68:3F:5E:25:70,5898764,-67
1368656495,40:A6:D9:FB:47:70,3801348,-96
1368656495,64:B9:E8:DE:CF:F9,3801348,-77
1368656495,64:B9:E8:DE:D9:B7,3801348,-78
1368656495,98:D6:F7:30:82:57,5898764,-69
1368656495,98:D6:F7:30:E8:11,5898764,-70
1368656495,B0:EC:71:BB:27:38,5898764,-73
1368656495,D0:DF:C7:C9:BD:A5,5898764,-72

1368656541,00:06:66:46:9A:0A,7936,-84
1368656541,00:06:66:46:B6:20,7936,-93
1368656541,00:06:66:46:B6:FB,7936,-85
1368656541,00:1E:C2:94:6D:EE,3801348,-70
1368656541,00:1E:C2:95:92:57,3801348,-68
1368656541,00:1F:F3:A4:E4:F1,3670276,-95
1368656541,10:68:3F:57:8D:7A,5898764,-77
1368656541,10:68:3F:5E:25:70,5898764,-64
1368656541,40:A6:D9:FB:48:54,3801348,-93
1368656541,64:B9:E8:DE:CF:F9,3801348,-85
1368656541,B0:EC:71:BB:27:38,5898764,-73
1368656541,D0:DF:C7:C9:BD:A5,5898764,-84

1368656631,00:06:66:46:9A:0A,7936,-83
1368656631,00:06:66:46:B6:20,7936,-92
1368656631,00:06:66:46:B6:FB,7936,-83
1368656631,00:1D:4F:8A:D7:C0,3670276,-62
1368656631,00:1E:C2:94:6D:EE,3801348,-72
1368656631,00:1E:C2:95:92:57,3801348,-72
1368656631,00:1E:C2:98:1B:79,3801348,-84
1368656631,00:1F:F3:A4:E4:F1,3670276,-83
1368656631,10:68:3F:57:8D:7A,5898764,-76
1368656631,40:A6:D9:FB:47:70,3801348,-92
1368656631,64:B9:E8:DE:D9:B7,3801348,-92
1368656631,98:D6:F7:30:82:57,5898764,-65
1368656631,98:D6:F7:30:E8:11,5898764,-68
1368656631,B0:EC:71:BB:27:38,5898764,-72
1368656631,D0:DF:C7:C9:BD:A5,5898764,-71

1368656684,00:06:66:46:9A:0A,7936,-85
1368656684,00:06:66:46:B6:FB,7936,-85
1368656684,00:1D:4F:8A:D7:C0,3670276,-70
1368656684,00:1E:C2:94:6D:EE,3801348,-72
1368656684,00:1E:C2:95:92:57,3801348,-67
1368656684,00:1E:C2:98:1B:79,3801348,-85
1368656684,00:1F:F3:A4:E4:F1,3670276,-92
1368656684,10:68:3F:57:8D:7A,5898764,-78
1368656684,10:68:3F:5E:25:70,5898764,-70
1368656684,40:A6:D9:FB:48:54,3801348,-98
1368656684,64:B9:E8:DE:D9:B7,3801348,-87
1368656684,98:D6:F7:30:E8:11,5898764,-63
1368656684,B0:EC:71:BB:27:38,5898764,-75
1368656684,D0:DF:C7:C9:BD:A5,5898764,-71

1368656733,00:06:66:46:9A:0A,7936,-89
1368656733,00:06:66:46:B6:FB,7936,-85
1368656733,00:1D:4F:8A:D7:C0,3670276,-73
1368656733,00:1E:C2:95:92:57,3801348,-73
1368656733,00:1E:C2:98:1B:79,3801348,-92
1368656733,10:68:3F:57:8D:7A,5898764,-85
1368656733,10:68:3F:5E:25:70,5898764,-69
1368656733,40:A6:D9:FB:48:54,3801348,-88
1368656733,64:B9:E8:DE:D9:B7,3801348,-85
1368656733,98:D6:F7:30:82:57,5898764,-92
1368656733,98:D6:F7:30:E8:11,5898764,-73
1368656733,B0:EC:71:BB:27:38,5898764,-81
1368656733,D0:DF:C7:C9:BD:A5,5898764,-70

1368656792,00:06:66:46:9A:0A,7936,-84
1368656792,00:06:66:46:B6:20,7936,-90
1368656792,00:06:66:46:B6:FB,7936,-84
1368656792,00:1D:4F:8A:D7:C0,3670276,-69
1368656792,00:1D:4F:92:5B:23,1057028,-90
1368656792,00:1E:C2:94:6D:EE,3801348,-63
1368656792,00:1E:C2:95:92:57,3801348,-67
1368656792,00:1E:C2:98:1B:79,3801348,-92
1368656792,00:1F:F3:A4:E4:F1,3670276,-91
1368656792,10:68:3F:57:8D:7A,5898764,-83
1368656792,10:68:3F:5E:25:70,5898764,-62
1368656792,40:A6:D9:FB:47:70,3801348,-90
1368656792,40:A6:D9:FB:48:54,3801348,-93
1368656792,98:D6:F7:30:82:57,5898764,-70
1368656792,98:D6:F7:30:E8:11,5898764,-70
1368656792,B0:EC:71:BB:27:38,5898764,-77
1368656792,D0:DF:C7:C9:BD:A5,5898764,-78

1368656838,00:06:66:46:9A:0A,7936,-90
1368656838,00:06:66:46:B6:20,7936,-87
1368656838,00:06:66:46:B6:FB,7936,-84
1368656838,00:1D:4F:8A:D7:C0,3670276,-63
1368656838,00:1E:C2:94:6D:EE,3801348,-64
1368656838,00:1E:C2:95:92:57,3801348,-68
1368656838,00:1E:C2:98:1B:79,3801348,-88
1368656838,00:1F:F3:A4:E4:F1,3670276,-95
1368656838,10:68:3F:5E:25:70,5898764,-68
1368656838,64:B9:E8:DE:D9:B7,3801348,-83
1368656838,98:D6:F7:30:82:57,5898764,-70
1368656838,98:D6:F7:30:E8:11,5898764,-70
1368656838,B0:EC:71:BB:27:38,5898764,-83
1368656838,D0:DF:C7:C9:BD:A5,5898764,-74

1368656879,00:06:66:46:9A:0A,7936,-87
1368656879,00:06:66:46:B6:FB,7936,-89
1368656879,00:1D:4F:8A:D7:C0,3670276,-57
1368656879,00:1D:4F:92:5B:23,1057028,-87
1368656879,00:1E:C2:94:6D:EE,3801348,-67
1368656879,00:1E:C2:95:92:57,3801348,-75
1368656879,00:1E:C2:98:1B:79,3801348,-83
1368656879,00:1F:F3:A4:E4:F1,3670276,-83
1368656879,40:A6:D9:FB:47:70,3801348,-95
1368656879,40:A6:D9:FB:48:54,3801348,-87
1368656879,64:B9:E8:DE:D9:B7,3801348,-92
1368656879,98:D6:F7:30:E8:11,5898764,-72
1368656879,B0:EC:71:BB:27:38,5898764,-83
1368656879,D0:DF:C7:C9:BD:A5,5898764,-72

1368656928,00:06:66:46:9A:0A,7936,-88
1368656928,00:06:66:46:B6:20,7936,-92
1368656928,00:06:66:46:B6:FB,7936,-85
1368656928,00:1D:4F:8A:D7:C0,3670276,-67
1368656928,00:1E:C2:94:6D:EE,3801348,-68
1368656928,00:1E:C2:95:92:57,3801348,-68
1368656928,00:1E:C2:98:1B:79,3801348,-82
1368656928,00:1F:F3:A4:E4:F1,3670276,-83
1368656928,10:68:3F:57:8D:7A,5898764,-82
1368656928,10:68:3F:5E:25:70,5898764,-64
1368656928,40:A6:D9:FB:47:70,3801348,-90
1368656928,40:A6:D9:FB:48:54,3801348,-90
1368656928,64:B9:E8:DE:D9:B7,3801348,-88
1368656928,98:D6:F7:30:82:57,5898764,-81
1368656928,98:D6:F7:30:E8:11,5898764,-66
1368656928,B0:EC:71:BB:27:38,5898764,-73
1368656928,D0:DF:C7:C9:BD:A5,5898764,-75

1368656990,00:06:66:46:9A:0A,7936,-82
1368656990,00:06:66:46:B6:20,7936,-93
1368656990,00:06:66:46:B6:FB,7936,-86
1368656990,00:1D:4F:8A:D7:C0,3670276,-70
1368656990,00:1E:C2:94:6D:EE,3801348,-68
1368656990,00:1E:C2:95:92:57,3801348,-65
1368656990,00:1E:C2:98:1B:79,3801348,-91
1368656990,04:0C:CE:EC:5C:21,3801348,-96
1368656990,10:68:3F:5E:25:70,5898764,-67
1368656990,40:A6:D9:FB:47:70,3801348,-92
1368656990,40:A6:D9:FB:48:54,3801348,-89
1368656990,64:B9:E8:DE:D9:B7,3801348,-90
1368656990,8C:2D:AA:41:20:12,3801348,-98
1368656990,98:D6:F7:30:82:57,5898764,-77
1368656990,98:D6:F7:30:E8:11,5898764,-70
1368656990,B0:EC:71:BB:27:38,5898764,-84
1368656990,D0:DF:C7:C9:BD:A5,5898764,-73

1368657045,00:06:66:46:9A:0A,7936,-96
1368657045,00:06:66:46:B6:20,7936,-90
1368657045,00:06:66:46:B6:FB,7936,-86
1368657045,00:1D:4F:8A:D7:C0,3670276,-75
1368657045,00:1D:4F:92:5B:23,1057028,-92
1368657045,00:1E:C2:94:6D:EE,3801348,-63
1368657045,00:1E:C2:95:92:57,3801348,-70
1368657045,00:1E:C2:98:1B:79,3801348,-90
1368657045,10:68:3F:57:8D:7A,5898764,-85
1368657045,10:68:3F:5E:25:70,5898764,-65
1368657045,40:A6:D9:FB:48:54,3801348,-88
1368657045,44:2A:60:D6:7A:C3,3801348,-97
1368657045,64:B9:E8:DE:D9:B7,3801348,-87
1368657045,98:D6:F7:30:82:57,5898764,-74
1368657045,98:D6:F7:30:E8:11,5898764,-67
1368657045,B0:EC:71:BB:27:38,5898764,-66
1368657045,D0:DF:C7:C9:BD:A5,5898764,-74

1368657096,00:06:66:46:9A:0A,7936,-87
1368657096,00:06:66:46:B6:20,7936,-92
1368657096,00:06:66:46:B6:FB,7936,-86
1368657096,00:1D:4F:8A:D7:C0,3670276,-80
1368657096,00:1E:C2:94:6D:EE,3801348,-75
1368657096,00:1E:C2:95:92:57,3801348,-78
1368657096,00:1F:F3:A4:E4:F1,3670276,-94
1368657096,10:68:3F:57:8D:7A,5898764,-95
1368657096,10:68:3F:5E:25:70,5898764,-82
1368657096,40:A6:D9:FB:47:70,3801348,-90
1368657096,64:B9:E8:DE:D9:B7,3801348,-84
1368657096,98:D6:F7:30:82:57,5898764,-85
1368657096,98:D6:F7:30:E8:11,5898764,-83
1368657096,B0:EC:71:BB:27:38,5898764,-86
1368657096,D0:DF:C7:C9:BD:A5,5898764,-83

1368657140,00:06:66:46:9A:0A,7936,-90
1368657140,00:06:66:46:B6:20,7936,-87
1368657140,00:06:66:46:B6:FB,7936,-83
1368657140,00:1D:4F:8A:D7:C0,3670276,-74
1368657140,00:1E:C2:94:6D:EE,3801348,-88
1368657140,00:1E:C2:95:92:57,3801348,-73
1368657140,00:1E:C2:98:1B:79,3801348,-89
1368657140,00:1F:F3:A4:E4:F1,3670276,-84
