time,location
1364419640,in[53_commons],
1364419651,in[53_commons],
1364419661,in[53_commons],
1364419671,in[53_commons],
1364419681,in[53_commons],
1364419691,in[53_commons],
1364419701,in[53_commons],
1364419711,in[53_commons],
1364419721,in[53_commons],
1364419731,in[53_commons],
1364419741,in[53_commons],
1364419752,in[53_commons],
1364419762,in[53_commons],
1364419772,in[53_commons],
1364419782,in[53_commons],
1364419792,in[53_commons],
1364419802,in[53_commons],
1364419812,in[53_commons],
1364419822,in[53_commons],
1364419832,in[53_commons],
1364419842,in[53_commons],
1364419852,in[53_commons],
1364419862,in[53_commons],
1364419873,in[53_commons],
1364419883,in[53_commons],
1364419893,in[53_commons],
1364419903,in[53_commons],
1364419913,in[53_commons],
1364419923,in[53_commons],
1364419933,in[53_commons],
1364419943,in[53_commons],
1364419953,in[53_commons],
1364419963,in[53_commons],
1364419973,in[53_commons],
1364419983,in[53_commons],
1364419994,in[53_commons],
1364420004,in[53_commons],
1364420014,in[53_commons],
1364420024,in[53_commons],
1364420034,in[53_commons],
1364420044,in[53_commons],
1364420054,in[53_commons],
1364420064,in[53_commons],
1364420074,in[53_commons],
1364420084,in[53_commons],
1364420094,in[53_commons],
1364420104,in[53_commons],
1364420115,in[53_commons],
1364420125,in[53_commons],
1364420135,in[53_commons],
1364420145,in[53_commons],
1364420155,in[53_commons],
1364420165,in[53_commons],
1364420175,in[53_commons],
1364420185,in[53_commons],
1364420195,in[53_commons],
1364420205,in[53_commons],
1364420215,in[53_commons],
1364420225,in[53_commons],
1364420235,in[53_commons],
1364420246,in[53_commons],
1364420256,in[53_commons],
1364420266,in[53_commons],
1364420291,in[53_commons],
1364420311,in[53_commons],
1364420331,in[53_commons],
1364420351,in[53_commons],
1364420371,in[53_commons],
1364420391,in[53_commons],
1364420411,in[53_commons],
1364420431,in[53_commons],
1364420451,in[53_commons],
1364420471,in[53_commons],
1364420491,in[53_commons],
1364420511,in[53_commons],
1364420532,in[53_commons],
1364420552,in[53_commons],
1364420572,in[53_commons],
1364420592,in[53_commons],
1364420612,in[53_commons],
1364420632,in[53_commons],
1364420652,in[53_commons],
1364420681,in[53_commons],
1364420701,in[53_commons],
1364420721,in[53_commons],
1364420741,in[53_commons],
1364420755,in[53_commons],
1364420766,in[53_commons],
1364420776,in[53_commons],
1364420786,in[53_commons],
1364420796,in[53_commons],
1364420806,in[53_commons],
1364420816,in[53_commons],
1364420826,in[53_commons],
1364420836,in[53_commons],
1364420846,in[53_commons],
1364420856,in[53_commons],
1364420866,in[53_commons],
1364420876,in[53_commons],
1364420887,in[53_commons],
1364420897,in[53_commons],
1364420907,in[53_commons],
1364420917,in[53_commons],
1364420927,in[53_commons],
1364420937,in[53_commons],
1364420947,in[53_commons],
1364420957,in[53_commons],
1364420967,in[53_commons],
1364420977,in[53_commons],
1364420988,in[53_commons],
1364420998,in[53_commons],
1364421008,in[53_commons],
1364421033,in[53_commons],
1364421053,in[53_commons],
1364421073,in[53_commons],
1364421093,in[53_commons],
1364421113,in[53_commons],
1364421133,in[53_commons],
1364421154,in[53_commons],
1364421174,in[53_commons],
1364421194,in[53_commons],
1364421208,in[53_commons],
1364421218,in[53_commons],
